logFC	logCPM	PValue	FDR	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	DE	Regulation
Eco0003	4.31048865212532	9.12778481612594	2.08615879708297e-24	2.47378056067e-22	132	43	41	3033	1864	2337	82.9281414369898	39.2657895958546	36.0712847779441	1169.40937512668	974.993036536432	1027.50676243492	100	DOWN_CF_UP_NB
Eco0594	-4.42506745136432	7.57020369782935	2.40157271405815e-24	2.7588066552743e-22	296	393	637	48	33	35	185.960074737492	358.87105374816	560.424595208545	18.5069732957734	17.261142814218	15.3884196342414	100	UP_CF_DOWN_NB
Eco0948	5.22023308349614	6.00328496335915	2.93041648856876e-24	3.26430636726629e-22	7	1	4	512	225	84	4.3977044701434	0.913157897578014	3.51914973443357	197.407715154916	117.689610096941	36.9322071221795	100	DOWN_CF_UP_NB
Eco2098	-4.37000969655371	7.81360874837329	3.34353759790555e-24	3.61495417938259e-22	539	607	464	38	40	62	338.623244201042	554.286843829855	408.221369194294	14.6513538591539	20.9225973505672	27.2594862092277	100	UP_CF_DOWN_NB
Eco0810	-4.21065143446055	10.213440325485	5.24185128692229e-24	5.50544152306467e-22	2065	3293	2808	190	163	471	1297.3228186923	3007.0289567244	2470.44311357236	73.2567692957697	85.2595842035614	207.084161363649	100	UP_CF_DOWN_NB
Eco2585	-5.1132406710027	5.27470853990727	1.42010734954532e-23	1.45008739359128e-21	53	141	88	4	4	7	33.2969052739429	128.7552635585	77.4212941575385	1.54224777464778	2.09225973505672	3.07768392684829	100	UP_CF_DOWN_NB
Eco1406	5.08804839545988	5.85502977119673	2.10350906638725e-23	2.08986468325393e-21	9	2	1	372	294	45	5.65419146161294	1.82631579515603	0.879787433608392	143.429043042244	153.781090526669	19.7851109583104	100	DOWN_CF_UP_NB
Eco1620	-4.16328521751779	8.81882865043554	3.23923931071748e-23	3.06971430088953e-21	701	1178	1212	118	88	119	440.398690510075	1075.7000033469	1066.30236953337	45.4963093521096	46.0297141712479	52.3206267564209	100	UP_CF_DOWN_NB
Eco2528	-4.09250425706643	11.2397978533288	3.25676979691762e-23	3.06971430088953e-21	4037	6809	5648	1101	569	186	2536.21899228127	6217.6921246087	4969.0394250202	424.503699971802	297.623947311819	81.7784586276831	100	UP_CF_DOWN_NB
Eco0002	4.29027531624769	7.4823213686251	4.70240085551995e-23	4.32150638622284e-21	51	7	12	780	429	1076	32.0404182824733	6.3921052830461	10.5574492033007	300.738316056318	224.394856584833	473.083986469823	100	DOWN_CF_UP_NB
Eco0780	4.6336550532658	6.45387401722613	8.27790386460869e-23	7.07664525727942e-21	13	5	7	324	270	495	8.16716544455202	4.56578948789007	6.15851203525874	124.92206974647	141.227532116329	217.636220541415	100	DOWN_CF_UP_NB
Eco0835	4.21249074049703	7.88345775582663	8.21193688242626e-23	7.07664525727942e-21	64	8	25	1773	1201	24	40.2075837270254	7.30526318062412	21.9946858402098	683.60132611263	628.200985450781	10.5520591777656	100	DOWN_CF_UP_NB
Eco0949	5.89317004870103	5.19570572987948	8.02227869952e-23	7.07664525727942e-21	3	0	1	242	146	60	1.88473048720431	0	0.879787433608392	93.3059903661909	76.3674803295703	26.3801479444139	100	DOWN_CF_UP_NB
Eco0001	4.15190686556207	8.43028492090209	1.18545544057393e-22	9.9039413626131e-21	71	32	39	1348	854	2205	44.6052881971688	29.2210527224965	34.3117099107273	519.737500056303	446.69745343461	969.470436957211	100	DOWN_CF_UP_NB
Eco3520	-4.09913161228107	8.70024643004655	1.2620607424983e-22	1.03096339764972e-20	679	1138	1032	133	123	52	426.57733360391	1039.17368744378	907.94063148386	51.2797385070388	64.3369868529942	22.8627948851587	100	UP_CF_DOWN_NB
Eco1253	4.45532515174988	6.75184176052849	1.73137366238377e-22	1.3835933875919e-20	18	10	7	452	382	506	11.3083829232259	9.13157897578015	6.15851203525874	174.273998535199	199.810804697917	222.472580997891	100	DOWN_CF_UP_NB
Eco0778	4.64555997828893	6.23171870671805	3.32046229499734e-22	2.59702540349154e-20	11	8	2	282	226	421	6.91067845308248	7.30526318062412	1.75957486721678	108.728468112669	118.212675030705	185.100704743304	100	DOWN_CF_UP_NB
Eco3562	-3.93538034655184	10.1499767320484	1.03695183498265e-21	7.94132280290878e-20	1640	2464	3563	382	203	376	1030.31933300502	2250.02105963223	3134.6826259467	147.284662478863	106.182181554129	165.315593784994	100	UP_CF_DOWN_NB
Eco1411	4.02999217685411	7.74941016460466	3.12833723645726e-21	2.34689136351365e-19	56	21	20	1392	1039	261	35.1816357611472	19.1763158491383	17.5957486721678	536.702225577429	543.464466180983	114.753643558201	100	DOWN_CF_UP_NB
Eco0491	3.88776924699442	9.68225641185147	3.72570570316488e-21	2.73913883296682e-19	257	64	101	4492	4494	1169	161.458578403836	58.4421054449929	88.8585307944475	1731.94425092946	2350.65381233623	513.973215783664	100	DOWN_CF_UP_NB
Eco3351	-3.82361086055585	9.85602292395335	9.64444832431895e-21	6.95156706670519e-19	1799	2106	2449	183	155	491	1130.21004882685	1923.1105322993	2154.59942490695	70.5578356901361	81.075064733448	215.877544011787	100	UP_CF_DOWN_NB
Eco1726	-3.93231326662324	7.66843569750547	1.02434002690968e-20	7.24129603638459e-19	431	457	535	31	31	108	270.772946661686	417.313159193153	470.686276980489	11.9524202535203	16.2150129466896	47.484266299945	100	UP_CF_DOWN_NB
Eco2967	-4.12684229157208	6.14065429286557	2.42916964347513e-20	1.68483539800275e-18	60	240	181	19	15	19	37.6946097440863	219.157895418723	159.241525483119	7.32567692957697	7.84597400646271	8.35371351573107	100	UP_CF_DOWN_NB
Eco0779	4.16780792173977	6.66816952202337	3.26025585735703e-20	2.21938898734156e-18	10	15	13	454	367	430	6.28243495734771	13.6973684636702	11.4372366369091	175.045122422523	191.964830691454	189.057726934966	100	DOWN_CF_UP_NB
Eco0793	3.97612277767788	7.13710673272877	5.53326046945796e-20	3.69823008831409e-18	29	13	21	982	538	254	18.2190613763084	11.8710526685142	18.4755361057762	378.621828676031	281.408934365129	111.675959631352	100	DOWN_CF_UP_NB
